Year,Rank,Song,Artist,gender
1965-01-01,1,wooly bully,sam the sham and the pharaohs,
1965-01-01,2,i cant help myself sugar pie honey bunch,four tops,
1965-01-01,3,i cant get no satisfaction,the rolling stones,
1965-01-01,4,you were on my mind,we five,
1965-01-01,5,youve lost that lovin feelin,the righteous brothers,
1965-01-01,6,downtown,petula clark,female
1965-01-01,7,help,the beatles,
1965-01-01,8,cant you hear my heart beat,hermans hermits,
1965-01-01,9,crying in the chapel,elvis presley,male
1965-01-01,10,my girl,the temptations,
1965-01-01,11,help me rhonda,the beach boys,
1965-01-01,12,king of the road,roger miller,male
1965-01-01,13,the birds and the bees,jewel akens,male
1965-01-01,14,hold me thrill me kiss me,mel carter,male
1965-01-01,15,shotgun,junior walker  the all stars,
1965-01-01,16,i got you babe,sonny  cher,
1965-01-01,17,this diamond ring,gary lewis  the playboys,
1965-01-01,18,the in crowd,ramsey lewis trio,
1965-01-01,19,mrs brown youve got a lovely daughter,hermans hermits,
1965-01-01,20,stop in the name of love,the supremes,
1965-01-01,21,unchained melody,the righteous brothers,
1965-01-01,22,silhouettes,hermans hermits,
1965-01-01,23,ill never find another you,the seekers,
1965-01-01,24,cara mia,jay and the americans,
1965-01-01,25,mr tambourine man,the byrds,
1965-01-01,26,cast your fate to the wind,sounds orchestral,
1965-01-01,27,yes im ready,barbara mason,female
1965-01-01,28,whats new pussycat,tom jones,male
1965-01-01,29,eve of destruction,barry mcguire,male
1965-01-01,30,hang on sloopy,the mccoys,
1965-01-01,31,ticket to ride,the beatles,
1965-01-01,32,red roses for a blue lady,bert kaempfert,
1965-01-01,33,papas got a brand new bag,james brown,male
1965-01-01,34,game of love,wayne fontana  the mindbenders,
1965-01-01,35,the name game,shirley ellis,female
1965-01-01,36,i know a place,petula clark,female
1965-01-01,37,back in my arms again,the supremes,
1965-01-01,38,baby im yours,barbara lewis,
1965-01-01,39,the jolly green giant,the kingsmen,
1965-01-01,40,hush hush sweet charlotte,patti page,female
1965-01-01,41,like a rolling stone,bob dylan,male
1965-01-01,42,im telling you now,freddie and the dreamers,
1965-01-01,43,ferry cross the mersey,gerry and the pacemakers,
1965-01-01,44,just once in my life,the righteous brothers,
1965-01-01,45,the seventh son,johnny rivers,male
1965-01-01,46,im henery the eighth i am,hermans hermits,
1965-01-01,47,a walk in the black forest,horst jankowski,
1965-01-01,48,for your love,the yardbirds,
1965-01-01,49,california girls,the beach boys,
1965-01-01,50,go now,the moody blues,
