,year,runtime,년
0,1964,174.63333333333333,175.0
1,1965,175.06666666666663,175.0
2,1966,173.925,174.0
3,1967,177.66,178.0
4,1968,181.24,181.0
5,1969,179.76,180.0
6,1970,179.1,179.0
7,1971,183.8,184.0
8,1972,190.62,191.0
9,1973,185.6122448979592,186.0
10,1974,201.55102040816325,202.0
11,1975,184.0612244897959,184.0
12,1976,191.24,191.0
13,1977,197.82,198.0
14,1978,212.34,212.0
15,1979,205.9830508474576,206.0
16,1980,210.64,211.0
17,1981,213.82,214.0
18,1982,204.46,204.0
19,1983,213.0,213.0
20,1984,226.84,227.0
21,1985,224.8,225.0
22,1986,225.3,225.0
23,1987,234.55,235.0
24,1988,240.0,240.0
25,1989,244.43,244.0
26,1990,240.04,240.0
27,1991,247.91,248.0
28,1992,243.46,243.0
29,1993,248.64,249.0
30,1994,247.63,248.0
31,1995,248.29,248.0
32,1996,251.96,252.0
33,1997,247.13,247.0
34,1998,251.16,251.0
35,1999,246.1,246.0
36,2000,245.86,246.0
37,2001,251.52,252.0
38,2002,246.36,246.0
39,2003,242.97,243.0
40,2004,243.6,244.0
41,2005,244.35,244.0
42,2006,241.44,241.0
43,2007,241.3,241.0
44,2008,231.5,232.0
45,2009,221.0,221.0
46,2010,219.15,219.0
47,2011,218.72,219.0
48,2012,223.54,224.0
49,2013,218.65,219.0
50,2014,225.36,225.0
51,2015,213.64,214.0
52,2016,222.72,223.0
53,2017,217.38,217.0
54,2018,230.49,230.0
