,year,lyric_per_runtime,lyric_per_runtime1
0,1964,0.8005008064067808,0.8
1,1965,0.7693234915287801,0.77
2,1966,0.7067843303584533,0.71
3,1967,0.7193393724467255,0.72
4,1968,0.6873952007108955,0.69
5,1969,0.771939345521144,0.77
6,1970,0.8731052405825533,0.87
7,1971,0.8624338845630034,0.86
8,1972,0.8003733345033683,0.8
9,1973,1.07514797566229,1.08
10,1974,0.9705365543373958,0.97
11,1975,0.9183184141162224,0.92
12,1976,0.8092503346251634,0.81
13,1977,0.812889769640605,0.81
14,1978,0.8163234191293297,0.82
15,1979,0.927964743842682,0.93
16,1980,0.8531201790627375,0.85
17,1981,0.8745624564281705,0.87
18,1982,0.9295512853570348,0.93
19,1983,1.0435586406276307,1.04
20,1984,0.8695171202196055,0.87
21,1985,0.9776870918182152,0.98
22,1986,0.930770694800353,0.93
23,1987,0.9669296803342671,0.97
24,1988,0.9074149280461749,0.91
25,1989,0.9200294260715052,0.92
26,1990,0.9540139805084256,0.95
27,1991,0.9576622859076972,0.96
28,1992,1.058019507107988,1.06
29,1993,1.1190363473381806,1.12
30,1994,1.1680921673636264,1.17
31,1995,1.328402137003467,1.33
32,1996,1.3933664362581133,1.39
33,1997,1.5652974349997195,1.57
34,1998,1.5453474043762498,1.55
35,1999,1.9061971762997656,1.91
36,2000,1.8503529913307089,1.85
37,2001,1.878399612508442,1.88
38,2002,2.1368693159722443,2.14
39,2003,2.1551816264536745,2.16
40,2004,2.212372298964356,2.21
41,2005,2.202061363723708,2.2
42,2006,2.2059171923532213,2.21
43,2007,2.128288259752104,2.13
44,2008,2.5225228396104398,2.52
45,2009,3.2091432674311813,3.21
46,2010,3.3202375443467447,3.32
47,2011,3.069088300284028,3.07
48,2012,2.9457940908909346,2.95
49,2013,2.8038208636026107,2.8
50,2014,2.645818334597915,2.65
51,2015,3.1172525004213147,3.12
52,2016,2.6499120831902814,2.65
53,2017,2.7641175312425306,2.76
54,2018,2.5762193560026367,2.58
