,Unnamed: 0,0,HP_Point
0,2018,6.21,6.21
1,2017,6.17,6.17
2,2016,6.01,6.01
3,2015,6.56,6.56
4,2014,6.27,6.27
5,2013,6.5,6.5
6,2012,6.69,6.69
7,2011,6.65,6.65
8,2010,7.08,7.08
9,2009,7.1,7.1
10,2008,6.37,6.37
11,2007,5.71,5.71
12,2006,5.93,5.93
13,2005,5.79,5.79
14,2004,5.51,5.51
15,2003,5.59,5.59
16,2002,5.55,5.55
17,2001,5.12,5.12
18,2000,5.13,5.13
19,1999,5.040404040404041,5.04
20,1998,4.7,4.7
21,1997,4.92,4.92
22,1996,4.58,4.58
23,1995,4.707070707070707,4.71
24,1994,4.26,4.26
25,1993,4.212121212121212,4.21
26,1992,4.092783505154639,4.09
27,1991,4.15625,4.16
28,1990,4.030612244897959,4.03
29,1989,3.9895833333333335,3.99
30,1988,4.052083333333333,4.05
31,1987,4.204081632653061,4.2
32,1986,4.236559139784946,4.24
33,1985,4.431578947368421,4.43
34,1984,4.043478260869565,4.04
35,1983,4.12,4.12
36,1982,4.061224489795919,4.06
37,1981,3.914893617021277,3.91
38,1980,4.25,4.25
39,1979,3.946428571428572,3.95
40,1978,3.7291666666666665,3.73
41,1977,3.739130434782609,3.74
42,1976,3.695652173913044,3.7
43,1975,3.755555555555556,3.76
44,1974,4.0625,4.06
45,1973,3.9361702127659575,3.94
46,1972,3.8297872340425534,3.83
47,1971,3.488888888888889,3.49
48,1970,3.3617021276595747,3.36
49,1969,3.5,3.5
50,1968,3.1904761904761907,3.19
51,1967,3.45,3.45
52,1966,2.888888888888889,2.89
53,1965,2.8571428571428568,2.86
54,1964,3.1428571428571432,3.14
