year,그룹,듀오,솔로,total
1964,0.1,0.033333333,0.866666667,30
1965,0.1,0.066666667,0.833333333,30
1966,0.1,,0.9,40
1967,0.04,,0.96,50
1968,0.04,0.02,0.94,50
1969,0.06,0.06,0.88,50
1970,0.08,0.08,0.84,50
1971,0.04,0.08,0.88,50
1972,0.06,0.02,0.92,50
1973,,0.102040816,0.897959184,49
1974,0.06122449,0.142857143,0.795918367,49
1975,0.102040816,0.12244898,0.775510204,49
1976,0.08,0.06,0.86,50
1977,0.08,0.04,0.88,50
1978,0.18,,0.82,50
1979,0.237288136,0.016949153,0.745762712,59
1980,0.22,0.02,0.76,50
1981,0.22,0.06,0.72,50
1982,0.16,0.06,0.78,50
1983,0.12,0.06,0.82,50
1984,0.1,,0.9,50
1985,0.14,0.07,0.79,100
1986,0.17,0.1,0.73,100
1987,0.14,0.08,0.78,100
1988,0.21,0.04,0.75,100
1989,0.09,0.05,0.86,100
1990,0.11,0.05,0.84,100
1991,0.05,0.08,0.87,100
1992,0.07,0.07,0.86,100
1993,0.17,0.13,0.7,100
1994,0.23,0.13,0.64,100
1995,0.29,0.14,0.57,100
1996,0.3,0.18,0.52,100
1997,0.33,0.17,0.5,100
1998,0.39,0.06,0.55,100
1999,0.3,0.1,0.6,100
2000,0.29,0.08,0.63,100
2001,0.2,0.11,0.69,100
2002,0.27,0.13,0.6,100
2003,0.29,0.08,0.63,100
2004,0.29,0.05,0.66,100
2005,0.35,0.08,0.57,100
2006,0.35,0.07,0.58,100
2007,0.38,0.06,0.56,100
2008,0.4,0.1,0.5,100
2009,0.48,0.08,0.44,100
2010,0.49,0.07,0.44,100
2011,0.5,0.15,0.35,100
2012,0.56,0.06,0.38,100
2013,0.33,0.2,0.47,100
2014,0.35,0.1,0.55,100
2015,0.43,0.06,0.51,100
2016,0.33,0.07,0.6,100
2017,0.32,0.14,0.54,100
2018,0.36,0.12,0.52,100
